Date,Forecasted_Demand,PRODUCT_CARD_ID,PRODUCT_NAME,FREQUENCY
12-02-2018,76.40841247,M001,Bus Model B45,Daily
13-02-2018,71.96627905,M001,Bus Model B45,Daily
14-02-2018,75.31013948,M001,Bus Model B45,Daily
15-02-2018,75.98078639,M001,Bus Model B45,Daily
16-02-2018,76.71197023,M001,Bus Model B45,Daily
17-02-2018,75.80813947,M001,Bus Model B45,Daily
18-02-2018,77.21161258,M001,Bus Model B45,Daily
19-02-2018,79.88042824,M001,Bus Model B45,Daily
20-02-2018,75.60800436,M001,Bus Model B45,Daily
21-02-2018,79.0354594,M001,Bus Model B45,Daily
22-02-2018,79.70112612,M001,Bus Model B45,Daily
23-02-2018,80.33848839,M001,Bus Model B45,Daily
24-02-2018,79.25392199,M001,Bus Model B45,Daily
25-02-2018,80.39381212,M001,Bus Model B45,Daily
26-02-2018,82.72229562,M001,Bus Model B45,Daily
27-02-2018,78.04076162,M001,Bus Model B45,Daily
28-02-2018,80.99996836,M001,Bus Model B45,Daily
01-03-2018,81.14931166,M001,Bus Model B45,Daily
02-03-2018,81.23448219,M001,Bus Model B45,Daily
03-03-2018,79.57489968,M001,Bus Model B45,Daily
04-03-2018,80.13050481,M001,Bus Model B45,Daily
05-03-2018,81.87916502,M001,Bus Model B45,Daily
06-03-2018,76.63583657,M001,Bus Model B45,Daily
07-03-2018,79.06434917,M001,Bus Model B45,Daily
08-03-2018,78.72635699,M001,Bus Model B45,Daily
09-03-2018,78.37870099,M001,Bus Model B45,Daily
10-03-2018,76.35057826,M001,Bus Model B45,Daily
11-03-2018,76.6101051,M001,Bus Model B45,Daily
12-03-2018,78.14153602,M001,Bus Model B45,Daily
13-03-2018,72.76428501,M001,Bus Model B45,Daily
14-03-2018,75.14461859,M001,Bus Model B45,Daily
15-03-2018,74.84456646,M001,Bus Model B45,Daily
16-03-2018,74.6192951,M001,Bus Model B45,Daily
17-03-2018,72.79433914,M001,Bus Model B45,Daily
18-03-2018,73.33227543,M001,Bus Model B45,Daily
19-03-2018,75.21009836,M001,Bus Model B45,Daily
20-03-2018,70.2384386,M001,Bus Model B45,Daily
21-03-2018,73.07348928,M001,Bus Model B45,Daily
22-03-2018,73.26617911,M001,Bus Model B45,Daily
23-03-2018,73.55983086,M001,Bus Model B45,Daily
24-03-2018,72.26769265,M001,Bus Model B45,Daily
25-03-2018,73.33991905,M001,Bus Model B45,Daily
26-03-2018,75.74125295,M001,Bus Model B45,Daily
27-03-2018,71.27054237,M001,Bus Model B45,Daily
28-03-2018,74.57294908,M001,Bus Model B45,Daily
29-03-2018,75.18938127,M001,Bus Model B45,Daily
30-03-2018,75.85438274,M001,Bus Model B45,Daily
31-03-2018,74.87386039,M001,Bus Model B45,Daily
01-04-2018,76.19222266,M001,Bus Model B45,Daily
02-04-2018,78.77017618,M001,Bus Model B45,Daily
03-04-2018,74.40431289,M001,Bus Model B45,Daily
04-04-2018,77.73934286,M001,Bus Model B45,Daily
05-04-2018,78.31750548,M001,Bus Model B45,Daily
06-04-2018,78.87639256,M001,Bus Model B45,Daily
07-04-2018,77.72656733,M001,Bus Model B45,Daily
08-04-2018,78.81855553,M001,Bus Model B45,Daily
09-04-2018,81.12046019,M001,Bus Model B45,Daily
10-04-2018,76.43733734,M001,Bus Model B45,Daily
11-04-2018,79.42319386,M001,Bus Model B45,Daily
12-04-2018,79.63014648,M001,Bus Model B45,Daily
13-04-2018,79.805982,M001,Bus Model B45,Daily
14-04-2018,78.27150977,M001,Bus Model B45,Daily
15-04-2018,78.98728948,M001,Bus Model B45,Daily
16-04-2018,80.93099234,M001,Bus Model B45,Daily
17-04-2018,75.91653936,M001,Bus Model B45,Daily
18-04-2018,78.60588377,M001,Bus Model B45,Daily
19-04-2018,78.55798159,M001,Bus Model B45,Daily
20-04-2018,78.52619506,M001,Bus Model B45,Daily
21-04-2018,76.83552318,M001,Bus Model B45,Daily
22-04-2018,77.44924518,M001,Bus Model B45,Daily
23-04-2018,79.3462365,M001,Bus Model B45,Daily
24-04-2018,74.34010155,M001,Bus Model B45,Daily
25-04-2018,77.09098973,M001,Bus Model B45,Daily
26-04-2018,77.15463735,M001,Bus Model B45,Daily
27-04-2018,77.27987765,M001,Bus Model B45,Daily
28-04-2018,75.78601003,M001,Bus Model B45,Daily
29-04-2018,76.6296101,M001,Bus Model B45,Daily
30-04-2018,78.78203566,M001,Bus Model B45,Daily
01-05-2018,74.04876749,M001,Bus Model B45,Daily
02-05-2018,77.08144603,M001,Bus Model B45,Daily
03-05-2018,77.42714073,M001,Bus Model B45,Daily
04-05-2018,77.82608837,M001,Bus Model B45,Daily
05-05-2018,76.58928574,M001,Bus Model B45,Daily
06-05-2018,77.66551279,M001,Bus Model B45,Daily
07-05-2018,80.01903588,M001,Bus Model B45,Daily
08-05-2018,75.44912569,M001,Bus Model B45,Daily
09-05-2018,78.60224634,M001,Bus Model B45,Daily
10-05-2018,79.02144939,M001,Bus Model B45,Daily
11-05-2018,79.44420603,M001,Bus Model B45,Daily
12-05-2018,78.18006131,M001,Bus Model B45,Daily
13-05-2018,79.17768508,M001,Bus Model B45,Daily
14-05-2018,81.40256951,M001,Bus Model B45,Daily
15-05-2018,76.65650806,M001,Bus Model B45,Daily
